trade_id,ticker,direction,entry_time,exit_time,exit_reason,Net_R,rs_score,rs_slope,atr_val,vol_ratio,dist_ema,candle_range_atr,market_regime
RELIANCE.NS_202601290905,RELIANCE.NS,LONG,2026-01-29 09:05:00,2026-01-29 09:25:00,STOP,-1.82,0.14,0.0059999999999999975,1.740090497957017,1.15,0.23,1.55,Bullish
TCS.NS_202601290910,TCS.NS,LONG,2026-01-29 09:10:00,2026-01-29 09:45:00,STOP,-1.74,0.1,0.06400000000000008,4.434810272261862,0.66,0.17,0.92,Bullish
TCS.NS_202601290930,TCS.NS,LONG,2026-01-29 09:30:00,2026-01-29 09:45:00,STOP,-1.76,0.38,0.058000000000000024,4.33938927780114,0.95,0.2,0.83,Bullish
TCS.NS_202601290935,TCS.NS,LONG,2026-01-29 09:35:00,2026-01-29 09:45:00,STOP,-1.76,0.26,0.07100000000000001,4.350861463930695,1.26,0.17,1.03,Bullish
RELIANCE.NS_202602050930,RELIANCE.NS,LONG,2026-02-05 09:30:00,2026-02-05 09:35:00,STOP,-1.51,0.12,-0.025,1.7783959164792256,3.72,0.24,2.76,Bullish
